HOSPITAL,,,Reviewer,"RATING CATEGORIES (Score 1-5, 1 = low/bad, 5 = high, outstanding)",,,,,,,,,,REVIEWS,,,
Hospital Name,Hospital City,Hospital State ,Reviewer's Name,Onboarding & Orientation,Culture & Friendliness Toward Travelers,Facility Location,Safety & Patient Ratios,Management & Leadership,Patient Acuity,Housing Options,Pay,Diversity & Inclusion,Would You Return?,Review Title,Review,Source Website,Date Posted 
Adventist Health And Rideout Memorial Hospital,Marysville,CA,Anonymous,4,4.5,3,-,-,,,,,,Syndicated Review,Great hospital and I definitely enjoyed my time here. We were cancelled a week early. The hospital had good equipment and excellent physicians. COVID protocols were in place and followed. Housing was extremely difficult and there is not much going on in marysville. Overall I was happy with my assignment there,https://app.scrubstr.com/,"September 26, 2021"
Adventist Health And Rideout Memorial Hospital,Marysville,CA,Anonymous,4,4.5,3,-,-,,,,,,Syndicated Review,Overall traveler friendly. The nurses were great. Staff seemed to be very close like family. Good luck getting any of the ER techs to do anything. Cleaning a Bed was beneath them. They were always too busy talking to take your up stairs. Their job title was to do thing like lab draws and stock supplies. That’s about it.,https://app.scrubstr.com/,"January 20, 2021"
Adventist Healthcare Shady Grove Medical Center,Rockville,MD,Anonymous,3.5,4,3.5,3,3.5,,,,,,Syndicated Review,Scrub color: Royal Blue Small community hospital. Most of the nurses are travelers which is nice. Not a fan of most of the doctors. They can be very stuck up and not know how to respectfully talk to nurses. Management can be a little shady when it comes to contract extensions. They like to wait to renew anyone until their last week with the hope that travelers would come on as staff.,https://app.scrubstr.com/,"December 14, 2022"
Adventist Healthcare Shady Grove Medical Center,Rockville,MD,Anonymous,3.5,4,3.5,3,3.5,,,,,,Syndicated Review,"I was at the stand alone location. With that being said, you are respiratory, pharmacy, evs, transport, etc. The manager was very approachable and had an open door policy and was very flexible with scheduling. Had an issue with some docs but others were great and I enjoyed working with them. Some of the techs will choose not to help you if they don’t like you, they pick and choose. Most of the nurses are travelers which is nice. Basically a glorified urgent care. They also cut my pay twice in the span of 3 weeks.",https://app.scrubstr.com/,"August 16, 2023"
Adventist Health Clearlake,Clearlake,CA,Anonymous,5,5,3.5,-,-,,,,,,Syndicated Review,Very nice hardworking staff. Team players on Med/Surg floor,https://app.scrubstr.com/,"September 29, 2021"
Adventist Health Feather River Hospital,Paradise,CA,Anonymous,4.5,4.5,3.5,-,-,,,,,,Syndicated Review,-,https://app.scrubstr.com/,"September 29, 2021"
Adventist Health Lodi Memorial Hospital,Lodi,CA,Anonymous,4,2.5,3.5,-,-,,,,,,Syndicated Review,Not at all travel friendly. Never got a break if any kind. Charge nurses we’re not kind. Dumped on travelers,https://app.scrubstr.com/,"September 29, 2021"
Adventist Health Lodi Memorial Hospital,Lodi,CA,Anonymous,4,2.5,3.5,-,-,,,,,,Syndicated Review,"Traveler friendly (at least in the ED). Staff is very approachable and helpful. Tough to rate the ED as a whole because there were a few major drawbacks. If you are lobby nurse, you are responsible for upwards of 20 + patients at a time. These patients don’t always get rooms and you are responsible for all tasks. If you were in a patient assignment it could be better but there was not any differentiation for acuity. If you had sick patients together, well then you had sick patients together. No down sizing ratios if you had an ICU patient (which is actually required according to California law). Always got 30 minute lunch break but never got the 2 fifteen minute breaks (also required by law). The pluses: very friendly staff, a lot of ancillary support (they have phlebotomy staff draw all labs!) RT readily available. Techs take all patients to floor (even tele patients) except for PTU (step down) and ICU patients which the nurse must accompany. Techs are hard workers and very helpful. Didn’t meet anyone that wasn’t helpful and friendly. Lots of supplies readily available. IV pumps could be difficult to come by at times. ED physicians were great, hospitalists not so much. Busy ER for its size…usually 120-170 patients per day seen. Again, tough to rate because of the negatives I have mentioned.",https://app.scrubstr.com/,"December 7, 2021"
Adventist Health Simi Valley,Simi Valley,CA,Anonymous,5,5,5,-,-,,,,,,Syndicated Review,"Just all around great ER and hospital. Very traveler friendly. Management was always around for questions and even helped with patient care often. The town itself it’s very friendly, clean, safe, and very family oriented.",https://app.scrubstr.com/,"January 20, 2021"
Adventist Health Tillamook,Tillamook,OR,Anonymous,4.5,5,5,-,-,,,,,,Syndicated Review,Loved my assignment! Staff is so nice area is beautiful,https://app.scrubstr.com/,"September 12, 2021"
Adventist Medical Center Hanford,Hanford,CA,Anonymous,5,2.5,5,4,5,,,,,,Syndicated Review,"The charge nurses are a huge problem. They’re rude, short, and look like they hate their jobs. There are two amazing charge nurses, Kandy and Amy. There is one charge nurse that has issues with 95% of staff and yet they still allow her to be charge. Staff call in on her shift and it really affects the nurses because she will NOT take patients no matter how busy it is, so when people call in everyone is screwed except for her! The ED RNs are amazing, most are helpful and most have great team work! The techs: get paid well, most do their job, most know what their duties are and stay in their lane, and most are helpful. The food 80% of the time is good. Patient experience: majority are lower income / medi-cal, uneducated, rude, entitled, drive nice cars but want everything done for them and done quickly. The community uses the ER for non emergent issues, worse than I’ve see anywhere. Parents: I didn’t give my kid Tylenol or ibuprofen for fever because I wanted you to see that they have a fever —- ignorant. Compensation: 42$ new grad - 60’s, bonuses to work extra shifts, only for nurses.",https://app.scrubstr.com/,"December 11, 2022"
Adventist Midwest Health Dba Adventist Hinsdale Hospital,Hinsdale,CA,Anonymous,5,5,5,5,5,,,,,,Syndicated Review,"Hinsdale is a very well off suburb about 20 miles outside of Chicago. Patient population can be very demanding/expectant due to their rather privileged lives. But most are very sweet. The staff continue to get younger due to senior nurses leaving for greener pastures but they were all very welcoming. I extended for 6 months and hated to leave, but I needed to take an actual travel contract (this was local for me). They are supposed to be switching to epic at some point? But still using cerner unfortunately. Majority of the ER docs are amazing and are big into communication between the nursing staff. Ratio is 1:4. They are a level II trauma but very rarely see it. They do have a pediatric inpatient unit and PICU (although it’s 4 beds and is often ‘closed’) so we did see a decent amount of pediatric patients. If you work day shift you will have the luxury of an abundance of ER techs. Night shift, you’re lucky if you have one pass 11 pm. But they were all great and super proactive. A lot of autonomy is afforded to the Er nursing staff which I very much appreciated! Would definitely go back again. The area is also very nice and definitely safe.",https://app.scrubstr.com/,"December 6, 2022"
Advocate Christ Hospital & Medical Center,Oak Lawn,IL,Anonymous,1,3,2,5,5,,,,,,Syndicated Review,-,https://app.scrubstr.com/,"August 15, 2023"
Advocate Good Shepherd Hospital,Barrington,IL,Anonymous,1,1,1,-,-,,,,,,Syndicated Review,"DO NOT GO HERE, horrible hospital",https://app.scrubstr.com/,"August 17, 2021"
Advocate Trinity Hospital,Chicago,IL,Anonymous,3,2.5,3.5,2.5,3.5,,,,,,Syndicated Review,"Ran by managment with very little experience. Not many critical patients nor physician's with privileges at this hospital. Staff is helpful, but the management makes the job worse than it should be.",https://app.scrubstr.com/,"February 4, 2023"
Advocate Trinity Hospital,Chicago,IL,Anonymous,3,2.5,3.5,2.5,3.5,,,,,,Syndicated Review,"This facility is located in one of the worst neighborhoods in the city. There were frequently shootings nearby when I worked here. They are not a trauma center but level one traumas would frequently come through the front door. A majority of the nurses have very little experience. The techs are very lazy and don’t put much effort into their job. Staffing is dismal, you will likely have 4+ patients at all times. Management is not particularly helpful and gets worked up over minor issues. I felt very unsafe working here and chose not to continue my contract.",https://app.scrubstr.com/,"February 6, 2021"
Akron Children's Hospital,Akron,OH,Anonymous,5,5,5,5,5,,,,,,Syndicated Review,-,https://app.scrubstr.com/,"August 24, 2023"
Alamance Regional Medical Center,Burlington,NC,Anonymous,3,2,5,3,3,,,,,,Syndicated Review,-,https://app.scrubstr.com/,"August 17, 2022"
Alameda Hospital,Alameda,CA,Anonymous,5,5,4.5,5,4,,,,,,Syndicated Review,"Small hospital and very small community here. the ED was mostly travelers who have been there for years because they love it. patients are very nice, i didn't have any homelessness or drug overdoses as i have in the past. very easy ED to work at , everyone is super helpful. there's 1 ""trauma"" room, basically just used for intubation and very critical patients , then 12 regular ED beds. no OB or peds. stroke certified.",https://app.scrubstr.com/,"May 13, 2022"
Alameda Hospital,Alameda,CA,Anonymous,5,5,4.5,5,4,,,,,,Syndicated Review,Very small hospital. Needed facility updating,https://app.scrubstr.com/,"August 27, 2023"
Alaska Native Medical Center - Anmc,Anchorage,AK,Anonymous,3.5,4.5,4.5,4.5,3,,,,,,Syndicated Review,I worked 5E which is considered medsurg tele on the nightshift. Ratios were the best I’ve ever experienced. I typically had 3-4 patients a night and would occasionally go up to 5 which was the max. My biggest complaint is doctors. They were unresponsive and unwilling to put in orders unless your patient was literally dying. The scheduling was also problematic. Be prepared to work every weekend and if you complain you will be told that you’re a traveler and it’s just the job. Otherwise all the other staff was welcoming and willing to help.,https://app.scrubstr.com/,"December 6, 2022"
Alaska Native Medical Center - Anmc,Anchorage,AK,Anonymous,3.5,4.5,4.5,4.5,3,,,,,,Syndicated Review,"Working at ANMC was a mixed bag. A lot of the staff I worked with were very friendly and helpful, especially those that checked in/came over to assist from ICU. This PCU is sort of part of ICU in that it is under the umbrella of their management and so most staffing decisions are made in conjunction with ICU. In addition, the ICU charge is essentially in charge of higher level decisions, so charging on this unit is a bit of a joke since you're taking two of your own patients and there are only eight patients in total. The patients vacillate between essentially ICU-level patients that the intensifies refuse to move across the hall and SNF patients that can't be placed due to extreme issues with skilled nursing and assisted living facility availability in Alaska as a whole. Unfortunately, because of the nature of this unit being a part of ICU, most of the staff members are very open with the fact that this unit is merely a stepping stone to moving to ICU and they've even designed their new grad and precepting program to have nurses work their way towards being critical care trained by doing online modules for several months while staffing the unit. As a result, there isn't much tethering anyone to the unit and it feels like a revolving door of staff every shift. Nothing you ever need is stocked and the central supply staff are short handed every day and forget to send about fifty percent of what you request to be sent up. This often happens when surgery residents show up unannounced with requests for random supplies for dressing changes, an experience I had far too frequently on this unit. The unit in general feels disorganized and poorly managed. Nursing instructors will often drop off students without warning, so expect to precept students often as a traveller. There are also a lot of new grads that will be sent over on their own to work without a preceptor only a few weeks into their residency programs, so please be aware that you will need to keep your ears and eyes open to give them a hand. Most of the staff I've interacted with are incredibly nice and welcoming but you are going to need to accept a lot of responsibility for this place when you sign a contract in this unit. In terms of organization, there are four single rooms and two double rooms. None of the rooms have computers in them and there are COWs in the hallway you can claim as your station for the day. There is one small desk that serves as the nursing station with three computers, one of which is claimed by the clerk (about 25% there was no one available to clerk though, so expect to answer your own phone calls and call lights), one is for the charge, and the third is often used by doctors charging on the unit. On the other side of the desk is the two bed dialysis unit and patients are able to look into the nursing station from those spots. There is a med room with a pyxis and a supply pyxis. There is another supply room with a cart and another supply pyxis. Right as you walk in, there is a small area partitioned off as nutrition room and a jumble of equipment that has no designated spot to be stored except for right in the hallway where visitors enter the unit. Also, there is no break room for this unit so you're expected to store your things and lunch across the hall in the ICU. In general, as much as it doesn't sound like it, I have enjoyed this contract but I have been extremely frustrated by the lack of organization.",https://app.scrubstr.com/,"December 6, 2022"
Alaska Native Medical Center - Anmc,Anchorage,AK,Anonymous,3.5,4.5,4.5,4.5,3,,,,,,Syndicated Review,"I really enjoyed my experience at ANMC! I was on 4W which was ortho / med surg. I usually had 4 patients, but never more than 5. The staff were great, always very willing to answer questions and help out. There was also a large traveler community that all got along well and supported each other. ANMC is specifically for Native Alaskan people and has a lot of other programs that support health and wellbeing of Natives across the state that I thought was really cool. They also set up housing and travel arrangements for patients and family members when they come in from out of town. Very different than any other hospital I've worked at but a great learning experience. The biggest plus was being in Anchorage. Being the biggest city in AK, travel is super accessible to anywhere in the state. AK is one of the most beautiful places I've ever visited and I went on so many epic adventures! 10/10 recommend. A few cons: I was floated about 50% of my shifts, usually either to other med surg units or ER holds, but a few times to L+D and peds. The only way to get a hold of providers was to have the charge nurse secure message them. Also they were just in the process of instating a color coded scrub dress code when I was leaving. Overall I enjoyed my experience!",https://app.scrubstr.com/,"September 29, 2023"
Alaska Regional Hospital,Anchorage,AK,Anonymous,5,5,4,-,-,,,,,,Syndicated Review,-,https://app.scrubstr.com/,"September 28, 2021"
Albany Medical Center,Albany,NY,Anonymous,4,3.5,4,3,1,,,,,,Syndicated Review,"I was part of the night shift med/surg float pool here. I never encountered a patient ratio over 6. Every unit is extremely different in the way they operate, and the longer I spent at the hospital, the more I realized which units were notorious for giving travelers the worst assignments. Was not expecting to be floated to the ED holding zone but apparently that’s something they do in the med/surg float pool. Most staff members are extremely helpful and nice, unfortunately some were not so nice. Only a handful of providers were fast to respond and actually listen, the rest couldn’t be bothered. One thing I will say, the nurse techs I’ve encountered are absolutely fantastic. They are extremely helpful and always on top of their duties. Overall decent experience.",https://app.scrubstr.com/,"December 5, 2022"
Albany Medical Center,Albany,NY,Anonymous,4,3.5,4,3,1,,,,,,Syndicated Review,"I worked overnights and it was a huge change from previously working as a day nurse. The staff was friendly and helped whenever I needed support or help. The patient ratio was as expected every night but be prepared to take on the extra patient or get the first admission just because your a traveler. Staff usually stuck with 5 and I usually ended up with 6, which is fine because I’ve been dealt more patients at my last hospital. Keep in mind that you are a guest and some nurses may not take that lightly. Management was pretty good but I had very little contact with them because I worked overnights.",https://app.scrubstr.com/,"December 4, 2022"
Albany Memorial Hospital,Albany,NY,Anonymous,4.5,4.5,2.5,-,-,,,,,,Emergency Room — Syndicated Review,"This hospital is a free standing ER. The main hospital attached has not been in use since COVID except for some outpatient procedures during the day. At nights there is limited UberEats options but the staff only cafeteria opens in the AM for breakfast and for day shift. (I suggest bringing your food). Parking is free and easy. Staff is kind, helpful and teamwork is phenomenal. Ratios are manageable. There are often Tech's on the floor. Well staffed for a low acuity, small ER. All patients that need admission get transferred to Samaritan and St Peter's and, infrequently, Albany Medical Center. RN is responsible for all transfer paperwork but Charge RN is always helpful. The manager is kind as well. Security does not respond very quickly. Luckily, we don't see too many behavioral patients. Pharmacy is not on site. One RT on site available by phone call. No MRI scanner but x-ray, US and CT on site. Only one MD in department with a PA or NP until 0000.",https://app.scrubstr.com/,"April 27, 2022"
Albert Einstein Medical Center,Philadelphia,PA,Anonymous,4,3.5,4,-,-,,,,,,ICU float • Intensive Care — Syndicated Review,"Einstein will float you literally everywhere as an ICU RN and will pull you mid-shift. If you don't like that, don't go there. The nurses, aides, and docs are generally very nice and not once have I been made to feel outside because I'm a traveler. The population is very much inner city. No pneumatic tube system. Rooms are old and have poor visibility. Equipment is old.",https://app.scrubstr.com/,"December 27, 2021"
Allegheny General Hospital,Pittsburgh,PA,Anonymous,2.5,1,2,4,1,,,,,,Syndicated Review,-,https://app.scrubstr.com/,"April 7, 2023"
Allenmore Hospital,Tacoma,WA,Anonymous,3,4.5,4,5,5,,,,,,Med-Surg — Syndicated Review,LPN RN team nursing. If no LPN 5-1 ratio. Staff is great!,https://app.scrubstr.com/,"February 20, 2022"
Alta Bates Summit Med Ctr-alta Bates Campus,Berkeley,CA,Anonymous,3,4,5,5,4,,,,,,Intensive Care — Syndicated Review,"started this assignment to be in the ICU & they have floated all ICU travel nurses to med surg & tele. Using us as the float pool of the hospital, which was not in the contract.",https://app.scrubstr.com/,"December 14, 2022"
Alta Bates Summit Med Ctr-summit Campus-summit,Oakland,CA,Anonymous,1,2,1,4,1,,,,,,Emergency Room — Syndicated Review,"Extremely toxic work environment between the charge nurses , and physicians treating travelers terribly. NOT travel friendly charge nurses are terrible to travelers. Scheduling is on one off one no block scheduling and if you don’t request time off in your contract you will not get any time off that is requested there after. ER extremely outdated and disorganized. Worst travel nurse contract I’ve ever taken. Red flags stay away from this place!! I did finished this contract but it broke my soul.",https://app.scrubstr.com/,"September 23, 2022"
Altru Hospital,Grand Forks,ND,Anonymous,3.5,4,4.5,4,4,,,,,,Syndicated Review,-,https://app.scrubstr.com/,"July 8, 2023"
Anmed Health Medical Center,Anderson,SC,Anonymous,4,4,3.5,-,-,,,,,,Med-Surg — Syndicated Review,"High % travelers. No ICU provider at night and often have issues contacting providers (ED admitting MD “covered” ICU) However, friendly staff and minimal expectations compared to other facilities. Not very well-supplied. Tripled 1/2 the time. Still decided to extend. An hour from mountains or Greenville.",https://app.scrubstr.com/,"December 4, 2021"
